title	author	date	link	emotion	value
Hotels	C.D. Wright	2016-05-04	http://poetry.lib.uidaho.edu/index.php/poems/hotels/	sadness	0.1291
This Couple	C.D. Wright	2016-02-17	http://poetry.lib.uidaho.edu/index.php/poems/this-couple/	anger	0.0975
This Couple	C.D. Wright	2016-02-17	http://poetry.lib.uidaho.edu/index.php/poems/this-couple/	disgust	0.4422
This Couple	C.D. Wright	2016-02-17	http://poetry.lib.uidaho.edu/index.php/poems/this-couple/	fear	0.4815
This Couple	C.D. Wright	2016-02-17	http://poetry.lib.uidaho.edu/index.php/poems/this-couple/	joy	0.5121
This Couple	C.D. Wright	2016-02-17	http://poetry.lib.uidaho.edu/index.php/poems/this-couple/	sadness	0.4361
Like Something in His Handwriting	C.D. Wright	2016-04-24	http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/	anger	0.1138
Like Something in His Handwriting	C.D. Wright	2016-04-24	http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/	disgust	0.1201
Like Something in His Handwriting	C.D. Wright	2016-04-24	http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/	fear	0.1223
Like Something in His Handwriting	C.D. Wright	2016-04-24	http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/	joy	0.2348
Like Something in His Handwriting	C.D. Wright	2016-04-24	http://poetry.lib.uidaho.edu/index.php/poems/like-something-in-his-handwriting/	sadness	0.5733
Another Strange Rose for the Afterlife	Dean Young	2016-04-08	http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/	anger	0.0277
Another Strange Rose for the Afterlife	Dean Young	2016-04-08	http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/	disgust	0.1119
Another Strange Rose for the Afterlife	Dean Young	2016-04-08	http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/	fear	0.2143
Another Strange Rose for the Afterlife	Dean Young	2016-04-08	http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/	joy	0.0107
Another Strange Rose for the Afterlife	Dean Young	2016-04-08	http://poetry.lib.uidaho.edu/index.php/poems/another-strange-rose-for-the-afterlife/	sadness	0.7358
Commencement Address	Dean Young	2016-05-06	http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/	anger	0.1928
Commencement Address	Dean Young	2016-05-06	http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/	disgust	0.1772
Commencement Address	Dean Young	2016-05-06	http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/	fear	0.1197
Commencement Address	Dean Young	2016-05-06	http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/	joy	0.2161
Commencement Address	Dean Young	2016-05-06	http://poetry.lib.uidaho.edu/index.php/poems/commencement-address/	sadness	0.5233
Delphiniums in a Window Box	Dean Young	2016-04-17	http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/	anger	0.134
Delphiniums in a Window Box	Dean Young	2016-04-17	http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/	disgust	0.4415
Delphiniums in a Window Box	Dean Young	2016-04-17	http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/	fear	0.1279
Delphiniums in a Window Box	Dean Young	2016-04-17	http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/	joy	0.254
Delphiniums in a Window Box	Dean Young	2016-04-17	http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/	sadness	0.5147
Elemental	Dean Young	2015-12-07	http://poetry.lib.uidaho.edu/index.php/poems/elemental/	anger	0.1375
Elemental	Dean Young	2015-12-07	http://poetry.lib.uidaho.edu/index.php/poems/elemental/	disgust	0.0755
Elemental	Dean Young	2015-12-07	http://poetry.lib.uidaho.edu/index.php/poems/elemental/	fear	0.1384
Elemental	Dean Young	2015-12-07	http://poetry.lib.uidaho.edu/index.php/poems/elemental/	joy	0.4723
Elemental	Dean Young	2015-12-07	http://poetry.lib.uidaho.edu/index.php/poems/elemental/	sadness	0.5922
Irrevocable Ode	Dean Young	2016-04-18	http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/	anger	0.1453
Irrevocable Ode	Dean Young	2016-04-18	http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/	disgust	0.1454
Irrevocable Ode	Dean Young	2016-04-18	http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/	fear	0.1534
Irrevocable Ode	Dean Young	2016-04-18	http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/	joy	0.1906
Irrevocable Ode	Dean Young	2016-04-18	http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/	sadness	0.5596
Late Valentine	Dean Young	2016-01-04	http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/	anger	0.282
Late Valentine	Dean Young	2016-01-04	http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/	disgust	0.2798
Late Valentine	Dean Young	2016-01-04	http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/	fear	0.0775
Late Valentine	Dean Young	2016-01-04	http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/	joy	0.0146
Late Valentine	Dean Young	2016-01-04	http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/	sadness	0.4922
Opal	Dean Young	2016-01-17	http://poetry.lib.uidaho.edu/index.php/poems/opal/	anger	0.0954
Opal	Dean Young	2016-01-17	http://poetry.lib.uidaho.edu/index.php/poems/opal/	disgust	0.1211
Opal	Dean Young	2016-01-17	http://poetry.lib.uidaho.edu/index.php/poems/opal/	fear	0.4075
Opal	Dean Young	2016-01-17	http://poetry.lib.uidaho.edu/index.php/poems/opal/	joy	0.214
Opal	Dean Young	2016-01-17	http://poetry.lib.uidaho.edu/index.php/poems/opal/	sadness	0.5584
Scarecrow on Fire	Dean Young	2016-04-09	http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/	anger	0.0561
Scarecrow on Fire	Dean Young	2016-04-09	http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/	disgust	0.505
Scarecrow on Fire	Dean Young	2016-04-09	http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/	fear	0.5106
Scarecrow on Fire	Dean Young	2016-04-09	http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/	joy	8.0E-4
Scarecrow on Fire	Dean Young	2016-04-09	http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/	sadness	0.0617
The Usual Decision-Making Process	Dean Young	2015-12-22	http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/	anger	0.1841
The Usual Decision-Making Process	Dean Young	2015-12-22	http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/	disgust	0.0669
The Usual Decision-Making Process	Dean Young	2015-12-22	http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/	fear	0.1935
The Usual Decision-Making Process	Dean Young	2015-12-22	http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/	joy	0.1178
The Usual Decision-Making Process	Dean Young	2015-12-22	http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/	sadness	0.5903
Three Weeks from Two Days Ago	Dean Young	2016-02-20	http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/	anger	0.1929
Three Weeks from Two Days Ago	Dean Young	2016-02-20	http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/	disgust	0.1039
Three Weeks from Two Days Ago	Dean Young	2016-02-20	http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/	fear	0.4121
Three Weeks from Two Days Ago	Dean Young	2016-02-20	http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/	joy	0.4988
Three Weeks from Two Days Ago	Dean Young	2016-02-20	http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/	sadness	0.5152
At Klipsan Beach	James Arthur	2016-01-15	http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/	anger	0.1066
At Klipsan Beach	James Arthur	2016-01-15	http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/	disgust	0.5474
