title,author,date,link,sentiment_label,sentiment_score,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,keywords
Delphiniums in a Window Box,Dean Young,"Apr 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/delphiniums-in-a-window-box/,negative,-0.266518,0.133955,0.441478,0.127947,0.254,0.514717,strange contraption; drainage ditches; evening fusillade; meteor shower; swans; crows; crickets; Stacks; song; sunrise; bats; melon; splinter; thistle; smell; senses; stray; clouds; eyes; rage; taste; farmer; conversation; syntax; butterfly; cloud; question; sugar; touch; place; creek; n’t; books; page; character; poet
Elemental,Dean Young,"Dec 7, 2015",http://poetry.lib.uidaho.edu/index.php/poems/elemental/,negative,-0.196127,0.137503,0.07552,0.138433,0.472,0.592202,burning woods; abandoned glass; wet grass; Dearheart; summarize; air; dreams; song; hands; body; spark; fireflies; sparks; wade; leaving; night; sea; sleep; Winter; things; summer; ice
Irrevocable Ode,Dean Young,"Apr 18, 2016",http://poetry.lib.uidaho.edu/index.php/poems/irrevocable-ode/,negative,-0.267782,0.145312,0.145376,0.153418,0.191,0.559598,crude clay teapot; raw rasp; Broken vow; broken silence; greasy hands; greasier rag; richest patron; paint blisters; couple look; diamond cutter; dumb creature; big talker; new home; red wine; white rugs; shrug; waxwings; miscalculations; basement; leg; peels; spiller; tears; chair; howl; blame; sky; rivets; breaker; knee; spoon; rage; husband; head; coyote; mom; joke; vet; lover; wife; Rikyū; hill; bones; ice; disposal; time; pieces; face; door; cat
Late Valentine,Dean Young,"Jan 4, 2016",http://poetry.lib.uidaho.edu/index.php/poems/late-valentine/,negative,-0.182155,0.28202,0.279759,0.077525,0.015,0.492173,ashy furrows; exactly children; tangerine rind; blood panels; newer ones; switchbacks; leaning; divorces; blows; reversals; wrinkles
Opal,Dean Young,"Jan 17, 2016",http://poetry.lib.uidaho.edu/index.php/poems/opal/,negative,-0.124988,0.09544,0.121137,0.40748,0.214,0.558392,tiny fishes; summer’s songs; town hall; glass case; friend; —the; Monet; stacks; skin; curb; nerves; feelings; hay; fingers; laughter; opal; attention; reflection; pond; rest; clock; arm; woods; face; house; help; boxes; person
Scarecrow on Fire,Dean Young,"Apr 9, 2016",http://poetry.lib.uidaho.edu/index.php/poems/scarecrow-on-fire/,negative,-0.260362,0.056051,0.504958,0.510626,0.001,0.061724,seedpod poof; lascivious mouth; hyena’s jaws; huge ensembles; luminous jelly; dreamfluff milkweed; emperor dust; flower girl; overcoat; seawall; glances; predicament; scarecrow; assertions; cities; rubies; sleeve; scare; jars; centurion; aerosols; nightmare; declarations; spit; sprays; moths; breach; crow; vein; buttons; proof; gods; blow; mud; sleep; creatures; face; snow; thoughts; time; brain
The Usual Decision-Making Process,Dean Young,"Dec 22, 2015",http://poetry.lib.uidaho.edu/index.php/poems/the-usual-decision-making-process/,negative,-0.184478,0.184091,0.066937,0.193539,0.118,0.590273,shimmering robe; rope ladder; hollow monster; corner store; someplace; river; scars; ladybug; headless; glowing; note; signs; half; window; watch; body; table; heart; sky
Three Weeks from Two Days Ago,Dean Young,"Feb 20, 2016",http://poetry.lib.uidaho.edu/index.php/poems/three-weeks-from-two-days-ago/,negative,-0.207046,0.19286,0.103881,0.412108,0.499,0.515156,airport taxi queue; red minute waits; white afternoon; little boy; pussy willow; pregnant woman; preparatory nubs; crab apples; brown bent; sexual energy; bare tree; coneflowers; spring; waxwings; goldfinches; groom; void; space-time; opposite; spelling; champagne; Alphabet; lunch; moon; joke; consciousness.; dream; daylit; message; cases; book; names; phone
At Klipsan Beach,James Arthur,"Jan 15, 2016",http://poetry.lib.uidaho.edu/index.php/poems/at-klipsan-beach/,negative,-0.0686792,0.106601,0.547417,0.123268,0.465,0.494709,sundial’s arm; soft amber; mortal art; violets; violet; reach; whiskey; shape; shadow; sea; time; beach—; ocean; ice
"Bucephalus, Charging",James Arthur,"Jan 14, 2016",http://poetry.lib.uidaho.edu/index.php/poems/bucephalus-charging/,negative,-0.450917,0.120593,0.412335,0.16718,0.282,0.489126,titanium hooves; petroleum burning; brown eye; Bombed-out tenements; heavy headstall; barding; blinders; DMZ; gallop; scat; Persia; refinery; bulletproof; shadow; quake; hear; noise; cars; sun
